hour,avg_market_price_usd_mwh,avg_consumption_kwh,avg_solar_kwh,avg_net_load_kwh,price_band,credit_usd_per_kwh,points_per_kwh,solar_bonus,total_credit_usd_per_kwh
0,27.747548510727373,0.896813875,0.0,0.896813875,BLUE (Neutral),0.02,1,0.0,0.02
1,25.62168689375942,0.9747561874999999,0.0,0.9747561874999999,BLUE (Neutral),0.02,1,0.0,0.02
2,24.570885926774405,0.9650721576086957,0.0,0.9650721576086957,GREEN (Reward),0.05,3,0.0,0.05
3,23.996541236210795,0.8873789782608695,0.0,0.8873789782608695,GREEN (Reward),0.05,3,0.0,0.05
4,24.533191676278715,0.7635370978260869,0.0,0.7635370978260869,GREEN (Reward),0.05,3,0.0,0.05
5,26.965995121928096,0.6217463967391305,0.0,0.6217463967391305,BLUE (Neutral),0.02,1,0.0,0.02
6,29.978118970556167,0.4917400244565217,0.0019006467391304346,0.4898393777173913,ORANGE (Caution),0.0,0,0.0,0.0
7,26.274915116504562,0.40341904347826085,0.011279002717391304,0.39214004076086956,BLUE (Neutral),0.02,1,0.0,0.02
8,20.26333738472855,0.3850360054347826,0.020725989130434785,0.36431001630434784,GREEN (Reward),0.05,3,0.0,0.05
9,18.907451367661253,0.44011605163043477,0.02913360597826087,0.4109824456521739,GREEN (Reward),0.05,3,0.0,0.05
10,20.781516928117252,0.5518031875,0.03608042119565217,0.5157227663043479,GREEN (Reward),0.05,3,0.02,0.07
11,25.986420015686925,0.6891388369565218,0.04121803804347826,0.6479207989130435,BLUE (Neutral),0.02,1,0.02,0.04
12,34.91832492883923,0.813709589673913,0.0442888125,0.769420777173913,ORANGE (Caution),0.0,0,0.02,0.02
13,33.077985226529314,0.8922651277173912,0.04513867119565217,0.847126456521739,ORANGE (Caution),0.0,0,0.02,0.02
14,34.00614084780795,0.9034525652173914,0.04372520108695652,0.8597273641304348,ORANGE (Caution),0.0,0,0.02,0.02
15,37.99548549096561,0.8491904266304348,0.04011899184782609,0.8090714347826087,RED (Penalty),-0.05,-2,0.02,-0.030000000000000002
16,37.30649269437327,0.8926791983695652,0.03450113315217391,0.8581780652173913,ORANGE (Caution),0.0,0,0.0,0.0
17,37.2339803269766,0.9155311222826087,0.027153328804347825,0.8883777934782608,ORANGE (Caution),0.0,0,0.0,0.0
18,46.23577676236051,0.8329920489130435,0.018443896739130435,0.8145481521739131,RED (Penalty),-0.05,-2,0.0,-0.05
19,62.928216082378505,0.690995214673913,0.008809554347826086,0.682185660326087,RED (Penalty),-0.05,-2,0.0,-0.05
20,63.266274192958214,0.5594874239130435,0.0006341820652173913,0.5588532418478261,RED (Penalty),-0.05,-2,0.0,-0.05
21,57.59998782630107,0.4979066548913043,0.0,0.4979066548913043,RED (Penalty),-0.05,-2,0.0,-0.05
22,39.09142162285599,0.6139043369565217,0.0,0.6139043369565217,RED (Penalty),-0.05,-2,0.0,-0.05
23,29.910821138643747,0.7687023722826086,0.0,0.7687023722826086,BLUE (Neutral),0.02,1,0.0,0.02
